date,province,confirmed,released,deceased
2020-03-30,Seoul,426,92,0
2020-03-30,Busan,118,87,3
2020-03-30,Daegu,6624,3837,111
2020-03-30,Incheon,58,15,0
2020-03-30,Gwangju,20,13,0
2020-03-30,Daejeon,34,17,0
2020-03-30,Ulsan,39,19,0
2020-03-30,Sejong,46,12,0
2020-03-30,Gyeonggi-do,463,160,5
2020-03-30,Gangwon-do,36,21,1
2020-03-30,Chungcheongbuk-do,44,21,0
2020-03-30,Chungcheongnam-do,127,83,0
2020-03-30,Jeollabuk-do,13,7,0
2020-03-30,Jeollanam-do,9,3,0
2020-03-30,Gyeongsangbuk-do,1298,772,38
2020-03-30,Gyeongsangnam-do,95,65,0
2020-03-30,Jeju-do,9,4,0
