province,elementary_school_count,kindergarten_count,university_count,nursing_home_count
Busan,608,816,44,13504
Chungcheongbuk-do,518,656,34,5538
Chungcheongnam-do,818,998,42,7282
Daegu,458,710,22,10166
Daejeon,296,520,30,5968
Gangwon-do,698,736,36,5038
Gwangju,310,624,34,5704
Gyeonggi-do,2554,4474,122,40982
Gyeongsangbuk-do,942,1414,66,8948
Gyeongsangnam-do,1002,1372,42,10728
Incheon,500,806,14,8994
Jeju-do,113,123,4,1245
Jeollabuk-do,838,1038,38,7548
Jeollanam-do,858,1084,38,6778
Korea,6087,8837,340,94865
Sejong,48,60,3,491
Seoul,1214,1660,96,45478
Ulsan,238,400,8,3602
